任务id,任务名,主线/支线,对话/打怪/掉落/寻物,等级限制,前置任务ID,后置任务ID,可完成次数,任务内容,任务目标,任务目标数量,任务简介,任务说明,说明脚本,接任务追踪,追踪脚本,未完成说明,追踪脚本,已完成追踪,追踪脚本,接任务NPC,还任务NPC,接任务脚本,还任务脚本,接任务对话,还任务对话,未完成对话,经验,阅历,索尼,物品,怪物组Id和掉落机率,guideDoing,guideDoingScript,guideComplete,guideCompleteScript,完成任务等级限制,章节,特殊任务类型枚举
30,被偷走的雷达,1,1,1,29,31,1,与兰琪对话,0,1,与兰琪对话,与|兰琪^对话,clickNPC|NPC08@map3,去找|龟仙人^领取任务,clickNPC|NPC08@map3,[主]被偷走的雷达<br/>与|兰琪^对话,clickNPC|NPC09@map3,[主]被偷走的雷达<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC08@map3,NPC09@map3,clickNPC|NPC09@map3,activeFunction(23),糟糕，中了调虎离山计，黑绸军乘我们不在偷袭了龟仙屋。快去找兰琪问问有多大损失。|好的。^接任务|[接受]被偷走的雷达,我看过了，黑绸军只偷走了龙珠雷达。|雷达？难道他们想搜集龙珠？^还任务|[完成]被偷走的雷达,希望我藏在床底下的杂志还在。|你担心这些可一点也不像习武之人。^进行中|[进行中]被偷走的雷达,161500,53820,18800,0,,与|兰琪^对话,clickNPC|NPC08@map3,去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,-1
31,海盗的机关,1,2,30,30,32,1,击败海盗机器人,75,1,击败海盗机器人,击败|海盗机器人^,openFB|3@7@75@75@6,去找|兰琪^领取任务,clickNPC|NPC09@map3,[主]海盗的机关<br/>击败|海盗机器人^({0}/{1}),openFB|3@7@75@75@6,[主]海盗的机关<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC09@map3,NPC09@map3,"openFB|3@7@75@75@6,addSection(70)",activeFunction(17),不知道他他们去哪了？不过听他们说起什么海贼的宝藏，这一带海域以前有海贼出没，也许他们是去海贼老巢了。|海贼老巢？离这里不远。^接任务|[接受]海盗的机关,你没事吧？|没事，机关已经被我破坏的差不多了。^还任务|[完成]海盗的机关,我听龟仙人说海贼老巢有很多机关，你们不要硬闯。|放心好了，我不会硬来的。^进行中|[进行中]海盗的机关,161500,53820,18800,1*11007*1,,击败|海盗机器人^,openFB|3@7@75@75@6,去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,-1
32,炭烧大章鱼,1,2,1,31,7018,1,击败大章鱼,81,1,击败大章鱼,击败|大章鱼^,openFB|3@7@81@81@6,去找|兰琪^领取任务,clickNPC|NPC09@map3,[主]炭烧大章鱼<br/>击败|大章鱼^({0}/{1}),openFB|3@7@81@81@6,[主]炭烧大章鱼<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC09@map3,NPC09@map3,"openFB|3@7@81@81@6,addSection(76)",clickNPC|NPC09@map3,听说海贼曾经饲养过巨大的海怪，也许海怪现在还盘踞在海贼的巢穴里。|以前常吃各种怪兽，海怪我还没吃过呢。^接任务|[接受]炭烧大章鱼,啊！这么大的炭烧章鱼，我还是第一次见到。|嗯，味道比山里的怪兽好多了。^还任务|[完成]炭烧大章鱼,你想要怎么烹调海怪呢？我准备下调料。|炭烧吧。糟了肚子饿了，先吃点包子再去。^进行中|[进行中]炭烧大章鱼,161500,53820,18800,0,,击败|大章鱼^,openFB|3@7@81@81@6,去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,-1
1003,探索海盗洞1,2,2,1,32,0,1,击败海盗机器人,75,5,击败海盗机器人5次,击败|海盗机器人^,openFB|3@7@75@75@6,去找|兰琪^领取任务,clickNPC|NPC09@map3,[支]探索海盗洞1<br/>击败|海盗机器人^({0}/{1}),openFB|3@7@75@75@6,[支]探索海盗洞1<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC09@map3,NPC09@map3,,clickNPC|NPC09@map3,大家都传说海贼把无数财宝藏在巢穴里，但因为有东西守护所以从来没有人找到过。|怪物守护的宝藏？听起来很刺激。^接任务|[接受]探索海盗洞1,没有找到宝藏吗？|洞穴太大，不知道在哪。^还任务|[完成]探索海盗洞1,去找宝藏记得要准备好大口袋。|你好像很专业的样子。^进行中|[进行中]探索海盗洞1,173050,57670,19600,2*80000*1,,击败|海盗机器人^,openFB|3@7@75@75@6,去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,-1
1004,探索海盗洞2,2,2,1,32,0,1,击败大章鱼,81,5,击败大章鱼5次,击败|大章鱼^,openFB|3@7@81@81@6,去找|兰琪^领取任务,clickNPC|NPC09@map3,[支]探索海盗洞2<br/>击败|大章鱼^({0}/{1}),openFB|3@7@81@81@6,[支]探索海盗洞2<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC09@map3,NPC09@map3,,clickNPC|NPC09@map3,你还要再去？真想也去看看海贼巢穴的样子。|里面很危险，我自己去就好。^接任务|[接受]探索海盗洞2,怎么样？这次有收获吗？|没有，海贼把东西藏得很深。^还任务|[完成]探索海盗洞2,要不我打个喷嚏跟你们一起去？|不要，打喷嚏的你比海怪更可怕。^进行中|[进行中]探索海盗洞1,173050,57670,19600,2*80000*1,,击败|大章鱼^,openFB|3@7@81@81@6,去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,-1
7018,海盗洞宝藏,1,5,1,32,33,1,打开海盗洞界面，开始一次宝箱竞猜,0,1,打开海盗洞界面，开始一次宝箱竞猜,打开海盗洞界面，开始一次宝箱竞猜,,去找|兰琪^领取任务,clickNPC|NPC09@map3,[主]海盗洞宝藏<br/>打开海盗洞界面，开始一次宝箱竞猜,,[主]海盗洞宝藏<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC09@map3,NPC09@map3,activeFunction(22),clickNPC|NPC09@map3,海盗洞有传说中的宝物，不过好像需要运气才能得到，让我们一探究竟吧！|知道了。^接任务|[接受]海盗洞宝藏,有收获吗？每天都可以在海盗洞竞猜好几次哦。|知道了。^还任务|[完成]海盗洞宝藏,有什么不明白的地方？|没有。^进行中|[进行中]海盗洞宝藏,1000,160,2500,0,,[主]海盗洞宝藏<br/>打开海盗洞界面，开始一次宝箱竞猜,,[主]海盗洞宝藏<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,17
33,蓝将军的特异功能,1,2,1,7018,34,1,击败蓝将军,87,1,击败蓝将军,击败|蓝将军^,openFB|3@7@87@87@6,去找|兰琪^领取任务,clickNPC|NPC09@map3,[主]蓝将军的特异功能<br/>击败|蓝将军^({0}/{1}),openFB|3@7@87@87@6,[主]蓝将军的特异功能<br/>去找|兰琪^完成任务,clickNPC|NPC09@map3,NPC09@map3,NPC09@map3,"openFB|3@7@87@87@6,addSection(82)",clickNPC|NPC09@map3,终于赶上了，蓝将军就在前面快过去打败他，抢回龙珠雷达。|好的。^接任务|[接受]蓝将军的特异功能,蓝将军有特异功能？你们受伤了吗？|我们没事，只是被他盯住身体就不能行动。^还任务|[完成]蓝将军的特异功能,路上小心点。|好的。^进行中|[进行中]蓝将军的特异功能,173050,57670,19600,0,,击败|蓝将军^,openFB|3@7@87@87@6,去找|兰琪^完成任务,clickNPC|NPC09@map3,1,3,-1
34,布尔玛的支援,1,1,1,33,7019,1,与布尔玛对话,0,1,与布尔玛对话,与|布尔玛^对话,clickNPC|NPC09@map3,去找|兰琪^领取任务,clickNPC|NPC09@map3,[主]布尔玛的支援<br/>与|布尔玛^对话,clickNPC|NPC10@map3,[主]布尔玛的支援<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC09@map3,NPC10@map3,clickNPC|NPC10@map3,,黑绸军逃走了，还好只丢了一个雷达。|不能让他们找到龙珠。布尔玛或许有办法。^接任务|[接受]布尔玛的支援,龙珠雷达被偷走了？太好了，上学没意思，我们一起去冒险吧。|呃，你爸妈会同意吗？^还任务|[完成]布尔玛的支援,你们要平安回来。|放心好了。^进行中|[进行中]布尔玛的支援,173050,57670,19600,0,,与|布尔玛^对话,clickNPC|NPC09@map3,去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,-1
7019,企鹅村的工匠,1,5,1,34,35,1,打开工匠村界面，制造一次装备,0,1,打开工匠村界面，制造一次装备,打开工匠村界面，制造一次装备,,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[主]企鹅村的工匠<br/>打开工匠村界面，制造一次装备,,[主]企鹅村的工匠<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,activeFunction(18),clickNPC|NPC10@map3,企鹅村有很多世外高人哦，他们可以帮你制作装备！|知道了。^接任务|[接受]企鹅村的工匠,了解了装备制作的步骤了吗？|知道了。^还任务|[完成]企鹅村的工匠,了解了装备制作的步骤了吗？|正在了解。^还任务|[完成]企鹅村的工匠,1000,160,2500,0,,[主]企鹅村的工匠<br/>打开工匠村界面，制造一次装备,,[主]企鹅村的工匠<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,18
35,追击蓝将军,1,2,35,7019,7020,1,击败蓝将军,93,1,击败蓝将军,击败|蓝将军^,openFB|3@8@93@93@6,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[主]追击蓝将军<br/>击败|蓝将军^({0}/{1}),openFB|3@8@93@93@6,[主]追击蓝将军<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,"openFB|3@8@93@93@6,addSection(88)",clickNPC|NPC10@map3,我追踪到雷达的信号，离我们不远，跟我来。|对方很危险，你跟在我身后比较安全。^接任务|[接受]追击蓝将军,雷达被打坏了，可恶忘了带上工具。|我们先在附近看看有没有人会修理吧。^还任务|[完成]追击蓝将军,不要磨磨蹭蹭的，我们还要去找龙珠呢。|你还是这么有干劲。^进行中|[进行中]追击蓝将军,173050,57670,19600,0,,击败|蓝将军^,openFB|3@8@93@93@6,去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,-1
7020,每日任务,1,5,1,35,36,1,打开每日任务界面，接受一个任务,0,1,打开每日任务界面，接受一个任务,打开每日任务界面，接受一个任务,,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[主]每日任务<br/>打开每日任务界面，接受一个任务,,[主]每日任务<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,activeFunction(14),clickNPC|NPC10@map3,每日任务开启后，每天完成任务就可以获得装备奖励哦。|知道了。^接任务|[接受]每日任务,看来你已经知道每日任务怎么做了。|知道了。^还任务|[完成]每日任务,了解每日任务怎么做了吗？|正在了解。^还任务|[完成]每日任务,1000,160,2500,0,,[主]每日任务<br/>打开每日任务界面，接受一个任务,,[主]每日任务<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,19
36,贪玩的阿拉蕾,1,2,1,7020,37,1,击败阿拉蕾,99,1,击败阿拉蕾,击败|阿拉蕾^,openFB|3@8@99@99@6,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[主]贪玩的阿拉蕾<br/>击败|阿拉蕾^({0}/{1}),openFB|3@8@99@99@6,[主]贪玩的阿拉蕾<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,"openFB|3@8@99@99@6,addSection(94)","activeFunction(21),openRunLoopfunction(0)",先找人问问我们在哪里？只要能联络胶囊公司我就能修理雷达。|好的。^接任务|[接受]贪玩的阿拉蕾,叫你去打探消息，你干嘛和人家小女孩打起来了？|那小女孩很厉害，我看她只是在跟我玩。^还任务|[完成]贪玩的阿拉蕾,叫你去打探一下消息，怎么都磨磨蹭蹭的呀？|我马上去。^进行中|[进行中]贪玩的阿拉蕾,173050,57670,19600,0,,击败|阿拉蕾^,openFB|3@8@99@99@6,去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,-1
8005,精英副本挑战,2,6,1,36,0,1,完成一次精英副本,0,1,完成一次精英副本,完成一次精英副本,,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[支]精英副本<br/>完成一次精英副本,,[支]精英副本<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,,,精英副本是对个人的极大挑战，你有挑战过7星难度的副本吗？|知道了。^接任务|[接受]精英副本,不错不错，你已经做到了。|好的。^还任务|[完成]精英副本,还没有完成吗？|快了。^进行中|[进行中]精英副本,1000,210,2500,2*81000*1,,[支]精英副本<br/>完成一次精英副本,,[支]精英副本<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,-1
1005,闲逛企鹅村,2,2,1,36,0,1,击败阿拉蕾,99,5,击败阿拉蕾5次,击败|阿拉蕾^,openFB|3@8@99@99@6,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[支]闲逛企鹅村<br/>击败|阿拉蕾^({0}/{1}),openFB|3@8@99@99@6,[支]闲逛企鹅村<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,,clickNPC|NPC10@map3,阿拉蕾希望你能多陪他玩会。|不敢想象她平时都玩些什么？^接任务|[接受]闲逛企鹅村,她是女孩子吗？比打过喷嚏的兰琪还恐怖。|我感觉她或许比我还强。^还任务|[完成]闲逛企鹅村,怎么还不去。|好的。^还任务|[完成]闲逛企鹅村,173050,57670,19600,2*80000*1,,击败|阿拉蕾^,openFB|3@8@99@99@6,去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,-1
37,再次逃走的蓝将军,1,2,1,36,38,1,击败蓝将军,105,1,击败蓝将军,击败|蓝将军^,openFB|3@8@105@105@6,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[主]再次逃走的蓝将军<br/>击败|蓝将军^({0}/{1}),openFB|3@8@105@105@6,[主]再次逃走的蓝将军<br/>去找|布尔玛^完成任务,clickNPC|NPC10@map3,NPC10@map3,NPC10@map3,"openFB|3@8@105@105@6,addSection(100)",,救命，阿拉蕾被蓝将军劫持了。可恶，我们只能答应他的要求。|我看未必。^接任务|[接受]再次逃走的蓝将军,阿，阿拉蕾居然把蓝将军一拳打飞了。|我比较担心黑绸军会在什么时候再次出现。^还任务|[完成]再次逃走的蓝将军,你别干傻事，当心阿拉蕾的安全。|阿拉蕾不会有事的。^进行中|[进行中]再次逃走的蓝将军,173050,57670,19600,0,,击败|蓝将军^,openFB|3@8@105@105@6,去找|布尔玛^完成任务,clickNPC|NPC10@map3,1,3,-1
38,结伴同行,1,1,37,37,39,1,与布尔玛对话,0,1,与布尔玛对话,与|布尔玛^对话,clickNPC|NPC10@map3,去找|布尔玛^领取任务,clickNPC|NPC10@map3,[主]结伴同行<br/>与|布尔玛^对话({0}/{1}),clickNPC|NPC11@map4,[主]结伴同行<br/>去找|布尔玛^完成任务,clickNPC|NPC11@map4,NPC10@map3,NPC11@map4,clickNPC|NPC11@map4,chapterShow|4,又要回去了，这次冒险真没意思，一点也不刺激。|我要去参加天下第一武道大会，和你一起走吧。^接任务|[接受]结伴同行,又回来了。你知道武道会在哪报名吗？我送你过去吧。|武天老师他们已经先到了，我们去找他们吧。^还任务|[完成]结伴同行,我们快点启程吧。|好的。^进行中|[进行中]结伴同行,173050,57670,19600,0,,与|布尔玛^对话,clickNPC|NPC10@map3,去找|布尔玛^完成任务,clickNPC|NPC11@map4,1,3,-1
39,出发武道会,1,2,1,38,40,1,击败街头混混,110,1,击败街头混混,击败|街头混混^,openFB|4@9@110@110@6,去找|布尔玛^领取任务,clickNPC|NPC11@map4,[主]出发武道会<br/>击败|街头混混^({0}/{1}),openFB|4@9@110@110@6,[主]出发武道会<br/>去找|布尔玛^完成任务,clickNPC|NPC11@map4,NPC11@map4,NPC11@map4,"openFB|4@9@110@110@6,addSection(106)",,南都因为习武的人很多，所以治安很差。路上不要轻易跟人动手。|习武的人欺负路人，我不能坐视不理。^接任务|[接受]出发武道会,都叫你不要惹事，你看吧，这些混混越来越多。|哼，正好一次收拾了。^还任务|[完成]出发武道会,我就知道你们都是正义感过剩的笨蛋。|我就是笨蛋。^进行中|[进行中]出发武道会,183850,61270,20300,0,,击败|街头混混^,openFB|4@9@110@110@6,去找|布尔玛^完成任务,clickNPC|NPC11@map4,1,3,-1
40,教训街头流氓,1,2,1,39,41,1,击败街头流氓,115,1,击败街头流氓,击败|街头流氓^,openFB|4@9@115@115@6,去找|布尔玛^领取任务,clickNPC|NPC11@map4,[主]教训街头流氓<br/>击败|街头流氓组^({0}/{1}),openFB|4@9@115@115@6,[主]教训街头流氓<br/>去找|布尔玛^完成任务,clickNPC|NPC11@map4,NPC11@map4,NPC11@map4,"openFB|4@9@115@115@6,addSection(111)",clickNPC|NPC11@map4,啊！有流氓捏我。你替我狠狠教训教训他们。|你刚才不是叫我们不要惹事吗？^接任务|[接受]教训街头流氓,混蛋，居然对本小姐下手，我要把你们全部送进警察局。|你再踹几脚就只能送他们去殡仪馆了。^还任务|[完成]教训街头流氓,不要放过这些流氓。|我马上就去。^进行中|[进行中]教训街头流氓,183850,61270,20300,0,,击败|街头流氓^,openFB|4@9@115@115@6,去找|布尔玛^完成任务,clickNPC|NPC11@map4,1,3,-1
41,武道会的地址,1,2,1,40,42,1,击败警察巡逻队,118,1,击败警察巡逻队,击败|警察巡逻队^,openFB|4@9@118@118@6,去找|布尔玛^领取任务,clickNPC|NPC11@map4,[主]武道会的地址<br/>击败|警察巡逻队长^({0}/{1}),openFB|4@9@118@118@6,[主]武道会的地址<br/>去找|布尔玛^完成任务,clickNPC|NPC11@map4,NPC11@map4,NPC11@map4,"openFB|4@9@118@118@6,addSection(116)",,糟糕警察来了，他们不听我们解释一定要带我们回警察局。|不行，报名时间会晚的。^接任务|[接受]武道会的地址,乘大队人马赶到前我们赶紧走。|只好下次去警察局向他们道歉了。^还任务|[完成]武道会的地址,都叫你们不要惹事了。|下次我们会注意的。^进行中|[进行中]武道会的地址,183850,61270,20300,0,,击败|警察巡逻队^,openFB|4@9@118@118@6,去找|布尔玛^完成任务,clickNPC|NPC11@map4,1,3,-1
42,参加武道会,1,1,39,41,43,1,与龟仙人对话,0,1,与龟仙人对话,与|龟仙人^对话,clickNPC|NPC11@map4,去找|布尔玛^领取任务,clickNPC|NPC11@map4,[主]参加武道会<br/>与|龟仙人^对话,clickNPC|NPC12@map4,[主]参加武道会<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC11@map4,NPC12@map4,clickNPC|NPC12@map4,activeFunction(503),这里就是武道寺，终于到了。先找到龟仙人他们再去报名吧。|这么多人，他们在哪呢？^接任务|[接受]参加武道会,你终于到了，快点，我们去报名吧。|好的。^还任务|[完成]参加武道会,哪里最亮就去哪，龟仙人和小林都是光头，亮度一定不低。|额~希望他们没听见。^进行中|[进行中]参加武道会,194650,64870,21000,0,,与|龟仙人^对话,clickNPC|NPC11@map4,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
8006,亲密度赠送,2,6,1,42,0,1,给自己或伙伴赠送一次亲密度,0,1,给自己或伙伴赠送一次亲密度,给自己或伙伴赠送一次亲密度,,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[支]亲密度赠送<br/>给自己或伙伴赠送一次亲密度,,[支]亲密度赠送<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,,,给自己和伙伴赠送亲密度，可以提升各项属性哦！|好的。^接任务|[接受]亲密度赠送,不错不错，你已经做到了。|好的。^还任务|[完成]亲密度赠送,还没有完成吗？|快了。^进行中|[进行中]亲密度赠送,1000,210,2500,2*81000*1,,[支]亲密度赠送<br/>给自己或伙伴赠送一次亲密度,,[支]亲密度赠送<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
43,第一场比武,1,2,1,42,44,1,击败壮汉,123,1,击败壮汉,击败|壮汉^,openFB|4@10@123@123@6,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[主]第一场比武<br/>击败|壮汉^({0}/{1}),openFB|4@10@123@123@6,[主]第一场比武<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,"openFB|4@10@123@123@6,addSection(119)",clickNPC|NPC12@map4,只有在初赛中胜出的参赛者，才能在观众面前比武，我也希望能够在观众席看到你。|是，我会努力的。^接任务|[接受]第一场比武,很好，这段时间的特训没有白费。|多谢师傅教导。^还任务|[完成]第一场比武,现在就开始畏缩了吗？快去解决对手。|好的。^进行中|[进行中]第一场比武,194650,64870,21000,1*11011*1,,击败|壮汉^,openFB|4@10@123@123@6,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
44,小林的师兄,1,2,1,43,45,1,击败多林寺师兄,129,1,击败多林寺师兄,击败|多林寺师兄^,openFB|4@10@129@129@6,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[主]小林的师兄<br/>击败|多林寺师兄^({0}/{1}),openFB|4@10@129@129@6,[主]小林的师兄<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,"openFB|4@10@129@129@6,addSection(124)",clickNPC|NPC12@map4,你的对手是多林寺大师兄。当初小林在多林寺的时候总被他欺负，今天你替小林教训教训他。|好的，交给我了。^接任务|[接受]小林的师兄,这只是开始，后面还有很多比赛，你不能懈怠。|明白。^还任务|[完成]小林的师兄,你还不去帮小林出气？|好的。^进行中|[进行中]小林的师兄,194650,64870,21000,0,,击败|多林寺师兄^,openFB|4@10@129@129@6,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
45,拳术高手,1,2,1,44,46,1,击败拳法家,133,1,击败拳法家,击败|拳法家^,openFB|4@10@133@133@6,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[主]拳术高手<br/>击败|拳法家^({0}/{1}),openFB|4@10@133@133@6,[主]拳术高手<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,"openFB|4@10@133@133@6,addSection(130)",clickNPC|NPC12@map4,这个拳法家看起来有点厉害，你要当心哟。|明白，我一定会认真对待的。^接任务|[接受]拳术高手,以你目前的实力，我想初赛选手已经没有你的对手了。|都是平时的训练让我变得更强。^还任务|[完成]拳术高手,他有些厉害，但应该还不是你的对手。|我不会轻易输的。^进行中|[进行中]拳术高手,205450,68470,21700,0,,击败|拳法家^,openFB|4@10@133@133@6,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
1006,武道会历练1,2,2,1,45,0,1,击败多林寺师兄,129,5,击败多林寺师兄,击败|多林寺师兄^,openFB|4@10@129@129@6,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[支]武道会历练1<br/>击败|多林寺师兄^({0}/{1}),openFB|4@10@129@129@6,[支]武道会历练1<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,,clickNPC|NPC12@map4,你的历练远远不够，继续努力吧。|好的。^接任务|[接受]武道会的历练1,不错，虽然不能算完美，但也算差强人意。|嗯，武道会才刚开始，我不会懈怠的。^接任务|[接受]武道会的历练1,赶快去吧。|好的。^接任务|[接受]武道会的历练1,205450,68470,21700,2*80000*1,,击败|多林寺师兄^,openFB|4@10@129@129@6,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
1007,武道会历练2,2,2,1,45,0,1,击败拳法家,133,5,击败拳法家,击败|拳法家^,openFB|4@10@133@133@6,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[支]武道会历练2<br/>击败|拳法家^({0}/{1}),openFB|4@10@133@133@6,[支]武道会历练2<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,,clickNPC|NPC12@map4,更多的交手经验才能让你快速成长。|好的。^接任务|[接受]武道会的历练2,很好，经验积累的越多实力就成长的越快。|谨记师傅教诲。^接任务|[接受]武道会的历练2,赶快去吧。|好的。^接任务|[接受]武道会的历练2,205450,68470,21700,2*80000*1,,击败|拳法家^,openFB|4@10@133@133@6,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
46,顺利晋级,1,2,1,45,7021,1,击败熊男,137,1,击败熊男,击败|熊男^,openFB|4@10@137@137@6,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[主]顺利晋级<br/>击败|熊男^({0}/{1}),openFB|4@10@137@137@6,[主]顺利晋级<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,"openFB|4@10@137@137@6,addSection(134)",clickNPC|NPC12@map4,这是小组赛最后一场，赢了这场就能进入决赛圈，即使不能夺冠我也已经很欣慰了。|放心好了，我的武道永无止境。^接任务|[接受]顺利晋级,恭喜你，顺利晋级到决赛中。|太好了，我成功了。^还任务|[完成]顺利晋级,太激动了吗，还不上场？|我准备好了。^进行中|[进行中]顺利晋级,216250,72070,22400,0,,击败|熊男^,openFB|4@10@137@137@6,去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,-1
7021,伙伴领悟,1,5,1,46,47,1,打开伙伴领悟界面，完成一次领悟并学习一项被动技能,0,1,打开伙伴领悟界面，完成一次领悟并学习一项被动技能,打开伙伴领悟界面，完成一次领悟并学习一项被动技能,,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[主]伙伴领悟<br/>打开伙伴领悟界面，完成一次领悟并学习一项被动技能,,[主]伙伴领悟<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,NPC12@map4,NPC12@map4,activeFunction(506),clickNPC|NPC12@map4,看来你的实力已经很不错了，现在教你新的提升实力的方式----领悟。|好的。^接任务|[接受]伙伴领悟,领悟除了直接增加属性之外，更重要的是可以获得技能点领悟被动技能！|知道了。^还任务|[完成]伙伴领悟,不知道怎么领悟？打开界面就明白了。|正在了解。^还任务|[完成]伙伴领悟,1000,160,2500,0,,[主]伙伴领悟<br/>打开伙伴领悟界面，完成一次领悟并学习一项被动技能,,[主]伙伴领悟<br/>去找|龟仙人^完成任务,clickNPC|NPC12@map4,1,3,20
47,进入决赛,1,1,41,7021,48,1,与裁判对话,0,1,与裁判对话,与|裁判^对话,clickNPC|NPC12@map4,去找|龟仙人^领取任务,clickNPC|NPC12@map4,[主]进入决赛<br/>与|裁判^对话,clickNPC|NPC13@map4,[主]进入决赛<br/>去找|裁判^完成任务,clickNPC|NPC13@map4,NPC12@map4,NPC13@map4,clickNPC|NPC13@map4,clickNPC|NPC13@map4,好了，后面的比赛我就没办法给你太多提示了，你去找裁判抽签吧。|好的。^接任务|[接受]进入决赛,恭喜你进入决赛，现在我们开始抽签了。|我的对手会是谁呢？^还任务|[完成]进入决赛,还不去抽签吗？|我这就去。^进行中|[进行中]进入决赛,216250,72070,22400,0,,与|裁判^对话,clickNPC|NPC12@map4,去找|裁判^完成任务,clickNPC|NPC13@map4,1,3,-1
48,恶臭的怪人,1,2,1,47,49,1,击败巴克特里安,140,1,击败巴克特里安,击败|巴克特里安^,openFB|4@11@140@140@6,去找|裁判^领取任务,clickNPC|NPC13@map4,[主]恶臭的怪人<br/>击败|巴克特里安^({0}/{1}),openFB|4@11@140@140@6,[主]恶臭的怪人<br/>去找|裁判^完成任务,clickNPC|NPC13@map4,NPC13@map4,NPC13@map4,"openFB|4@11@140@140@6,addSection(138)",clickNPC|NPC13@map4,你的第一位对手是出生以来从来不洗澡的巴克特里安，他的体臭是他制胜的法宝。|唔，好臭，无法呼吸了。^接任务|[接受]恶臭的怪人,恭喜你获胜。想不到你这么快就能摆脱恶臭的干扰。|不受干扰专注于武道才是真正的武道家。^还任务|[完成]恶臭的怪人,你不会因为他一身的恶臭，就拒绝比武吧？|不会的，我马上就上场。^进行中|[进行中]恶臭的怪人,216250,72070,22400,0,,击败|巴克特里安^,openFB|4@11@140@140@6,去找|裁判^完成任务,clickNPC|NPC13@map4,1,3,-1
